id,id_negocio,flujo_origen,nomenclatura,dealstage,hs_call_disposition,sales_stage_detail,agent_name,hs_call_duration,hs_call_body,commitment_date,dealid,hs_timestamp,scheduling_date,soap_xml,http_code,id_return,error_messages,created_at
1,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:29:42.249744-05
2,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:30:01.966847-05
3,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:30:21.968335-05
4,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:30:41.892448-05
5,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:31:02.018664-05
6,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:31:22.152745-05
7,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:31:42.057743-05
8,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:32:22.012716-05
9,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:32:42.262014-05
10,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:33:02.028236-05
11,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:33:22.047818-05
12,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:33:42.126135-05
13,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:34:21.953044-05
14,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:35:02.122964-05
15,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:35:21.985747-05
16,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:35:50.381854-05
17,,CierreLlamadas,,,,,ARIA UTPL,,,,,undefined undefined,,,,,,2026-06-04 15:36:02.169212-05
